#Article,Article,Total Words (m),Frequency (f),Relative Frequency (f/m)
17,"MADRID Denis Shapovalov and Vasek Pospisil kept rolling on Monday, notching a pair of upsets to lead Canada to a win over Italy on the opening day of the inaugural Davis Cup Finals.;Shapovalov, ranked 15th in the world, gave Canada an insurmountable 2-0 lead  [+4087 chars]",47,2,0.0425531914893617
18,"One hundred and six years.;That s how long it took Canada to break its drought and reach the Davis Cup final, achieved by Denis Shapovalov and Vasek Pospisil on Saturday after defeating Russia 2-1 in semifinal action in Madrid.;The Canadian duo got past Rus  [+5348 chars]",48,1,0.020833333333333332
22,"British Columbia and Newfoundland led Canada s provinces in employment gains in October, Statistics Canada s new Labour Force Survey reports.;Canada added 443,000 new jobs in the 12 months spanning October 2018 to October 2019, led by gains in full-time work  [+2464 chars]",44,3,0.06818181818181818
23,"Disney and Apple s respective streaming services, Disney Plus and Apple TV Plus, have arrived in Canada with a slew of old and original content.;On one hand, this is great news: it means greater variety at low prices, as media giants compete for a slice of t  [+5439 chars]",50,1,0.02
25,"A brewing battle over the future of NATO could have major implications for Canada, which for decades has relied on the military alliance as a cornerstone of its security, protection and influence in the world.;Prime Minister Justin Trudeau is expected to tra  [+5016 chars]",45,1,0.022222222222222223
26,"MADRID World No. 1 Rafael Nadal defeated Denis Shapovalov 6-3, 7-6 (7) on Sunday to give Spain its sixth Davis Cup title and deny Canada its first.;Shapovalov of Richmond Hill, Ont., fended off a pair of championship points in the second-set tiebreak before   [+4089 chars]",46,1,0.021739130434782608
30,"Don t expect an immediate replacement for fired commentator Don Cherry on Coach s Corner.;In fact, it s possible that Sportsnet may eventually take the long-running Hockey Night in Canada segment in a different direction.;We re taking the time to explore ne  [+1962 chars]",46,1,0.021739130434782608
33,"MONTREAL   Weed may not be the product that sells itself after all. It s turning out to be a bit tricky to make a profit on the green stuff   legally   in Canada these days.;Some of Canada s largest cannabis manufacturers have reported dismal sales and weake  [+4195 chars]",49,2,0.04081632653061224
42,"MADRID Canada is heading to the quarterfinals at the inaugural Davis Cup Finals after sweeping a pair of singles matches against the United States on Tuesday.;Denis Shapovalov of Richmond Hill, Ont., clinched the victory in the best-of-three tie, beating Tay  [+3040 chars]",43,1,0.023255813953488372
43,"WASHINGTON (Reuters) - President Donald Trump on Tuesday accused Speaker of the House of Representatives Nancy Pelosi of delaying a vote to approve the USMCA trade pact between the United States, Canada and Mexico in order to secure support for her impeachmen  [+434 chars]",44,1,0.022727272727272728
44,"(Reuters) - The global grounding of Boeing s (BA.N) 737 MAX jet is weighing on Canadian economic investment in machinery and equipment, with carriers unable to take deliveries of the planes, the Bank of Canada said on Wednesday in a report. ;Investment in ma  [+768 chars]",46,1,0.021739130434782608
45,"Canada Goose unveiled its largest coat on Friday.;The new jacket, which is almost four feet long, was made bespoke for NBA player Tacko Fall, who is seven-foot-five.;News of the gift was first shared by reporters who attended a basketball game between Fall'  [+1330 chars]",46,1,0.021739130434782608
50,"For the first time since a controversy embroiled the two men, longtime Coach s Corner host Ron MacLean appeared during the first intermission of Hockey Night in Canada without co-host Don Cherry.;Instead, MacLean appeared solo on Saturday night, delivering a  [+6143 chars]",43,1,0.023255813953488372
51,"It was one of the worst weeks for the legal cannabis sector since pot became legal in Canada.;After more than a dozen Canadian-based pot companies reported quarterly results over the past five days, it became increasingly clear the risks that had faced the i  [+5572 chars]",47,1,0.02127659574468085
55,"Ron MacLean (left) sits beside Don Cherry as Rogers TV unveils their team for the station's NHL coverage in Toronto on Monday, March 10, 2014. ;Chris Young/The Canadian Press;On the first edition of Hockey Night in Canada in almost four decades without Don   [+6005 chars]",46,1,0.021739130434782608
57,"B.C. NEEDS US;Every time someone brings up separation, an  expert  says  a landlocked country can t sell.  If Alberta separated, B.C. would find itself in dire need of a  pipeline  to Canada. Customs can be troublesome, can t they? Haven t we paid our master  [+13441 chars]",48,1,0.020833333333333332
58,"Justin Trudeau, a man who cant remember how many times he darkened his skin for comic effect, has managed to form a minority government in Canada.;His Liberal Party won Mondays election with fewer votes than the Conservatives but, under a quirk of the first-  [+449 chars]",47,1,0.02127659574468085
59,"Knowlton Residence is a minimalist house located in Quebec, Canada, designed by TBA as a renovation and extension of an aging country farmhouse. The new, two-story extension was built on top of the original single-story foundation.;Expanding vertically allow  [+573 chars]",41,1,0.024390243902439025
60,"OnePlus smartphone owners in the U.S. and Canada will soon be able to easily submit service requests and track the status of repairs from the OnePlus Care app. In a post on the official OnePlus Community forums (via 9to5Google), Tom Bruno, Service Strategy an  [+974 chars]",46,1,0.021739130434782608
61,"Pipelines were made for transporting oil. But some, it appears, were made for leaking. The Keystone Pipeline System is one of those.;The system runs more than 2,600 miles from Canada and into Nebraska where it splits. And on Tuesday night, it began to spill   [+2818 chars]",47,1,0.02127659574468085
62,"Cortana's role is shifting.;Nate Ralph/CNET;Microsoft is discontinuing its Cortana mobile app for Android and iOS in the UK, Canada and Australia, the company said this week. As of Jan. 31, Microsoft will no longer support the virtual assistant app in those  [+1073 chars]",45,1,0.022222222222222223
67,"In a growing line of whistleblowers and skeptics voicing their concerns before the expected re-certification of the Boeing 737 MAX, another rogue agent has emerged. In an email sent to regulators in the U.S., Europe and Brazil, a Transport Canada safety offic  [+1366 chars]",44,1,0.022727272727272728
68,"By Richard Cowan;WASHINGTON (Reuters) - U.S. House Speaker Nancy Pelosi on Thursday said a breakthrough in talks with the Trump administration on the trade pact with Mexico and Canada could be imminent and that she wanted to pass the deal by the end of the y  [+1891 chars]",49,1,0.02040816326530612
69,"BILLINGS, Mont. (AP) Officials in Montana are marshaling their resources and enlisting the publics help to keep encroaching feral hogs from Canada at bay with a program called Squeal on Pigs.;The campaign to prevent wild hogs from going hog wild in Montana w  [+1738 chars]",46,1,0.021739130434782608
70,"CHURCHILL, Canada Crack. Crack. Crack. Crack.;In the waning afternoon of Nov. 5, Manitoba conservation officers leapt from their pickup truck onto Kelsey Boulevard, the snow-blanketed main drag in the 900-person town of Churchill. They fired bursts of explod  [+1762 chars]",41,1,0.024390243902439025
77,"From holiday essentials to seasonal styles, buzzworthy electronics, and everything in between, Amazon Canada's Cyber Monday deals kick off Saturday, November 30 with deals all weekend through Cyber Monday ;SEATTLE, Nov. 25, 2019 /CNW/ - (NASDAQ: AMZN) Amazon  [+8227 chars]",40,1,0.025
78,"TORONTO -- If your cellphone receives an emergency alert text on Wednesday, dont panic.;Canadas national emergency alert system, Alert Ready, has scheduled a public test for later this week. Depending on where you live, the test will be sent in the late morn  [+1447 chars]",46,1,0.021739130434782608
84,"Get ready for a blast from the past: Motorola is reviving its popular razr flip phone and it will be available in Canada starting early next year.;Motorola has reinvented its beloved razr, which was wildly popular in the mid-2000s, as a smartphone with multi  [+1866 chars]",47,1,0.02127659574468085
88,"An Air Canada Boeing 787 plane that was flying across the Atlantic from London to Toronto had to land in Dublin after its windscreen cracked mid-flight.;Flight AC 857 had already flown past Ireland and was around one hour into the flight on Saturday when cre  [+1727 chars]",48,1,0.020833333333333332
89,"TORONTO -- Disney Plus has arrived in Canada, becoming the newest player in the growing menu of TV options, but some users say they've encountered technical problems trying to access the streaming platform.;A number of Canadians took to social media on Tuesd  [+2422 chars]",45,1,0.022222222222222223
93,"Growing up in Canada I never thought much about the healthcare system. When I moved to the US for graduate school, I knew it was strange to not have universal healthcare, but I had a comprehensive health insurance plan from school, so healthcare wasn't an eve  [+5550 chars]",48,1,0.020833333333333332
94,"Maybe you live in Ohio, far away from rising seas. Maybe you live in Canada, nowhere near a blazing desert. You might think climate change isnt your problem, at least not yet. But maybe today we can change your mind.;The medical journal The Lancet just relea  [+2472 chars]",49,1,0.02040816326530612
98,"An asylum seeker is confronted by an RCMP officer as he crosses the border into Canada from the United States near Champlain, N.Y., on Aug. 21, 2017. Earlier that year, the Canada-U.S. Safe Third Country Agreement started making headlines when a loophole in t  [+5262 chars]",46,2,0.043478260869565216
100,"The Royal Bank of Canada has quashed rumors that its creating a cryptocurrency exchange or platform;Last week, a local Canadian news outlet The Logic reported that The Royal Bank of Canada (RBC) was exploring a cryptocurrency trading platform that would let   [+1354 chars]",44,2,0.045454545454545456
220,"Immigration officials are turning back two of five people applying to study in Canada, with Africans suffering by far the highest rate of rejection.;With Canada now the world s fastest-growing destination for international students, the Immigration Departmen  [+8664 chars]",40,2,0.05
226,"Members of Ottawa's LGBTQ community say discrimination causes some people to go ""back into the closet"" during their search for long-term seniors housing.;A Halifax researcher is holding a focus group in the capital Tuesday as part of a Canada-wide project fu  [+1595 chars]",44,1,0.022727272727272728
232,"As Canada struggles to thaw its frosty relationship with China, academics and researchers are boycotting the world s largest conference on migration, settlement and diversity to be held in Beijing.;The group has launched an online petition urging that the 20  [+3813 chars]",43,1,0.023255813953488372
238,"A documentarian and academic from northern New Brunswick says a provincewide discussion about the value of small communities and their future is long overdue.;Tony Tremblay was reacting to the news Glencore Canada Corp. will close the Brunswick Smelter in Be  [+4903 chars]",43,1,0.023255813953488372
245,"Nearly half the people using New Brunswick food banks live alone, according to a new report by Food Banks Canada.;""This is really problematic when you have someone visiting a food bank who lives alone,"" said Sylvain Charlebois, the director of the Agri-Food-  [+2580 chars]",45,1,0.022222222222222223
247,"Air pollution - even at levels below national and international air quality guidelines - is associated with an increased risk of deaths in Canada, according to new UBC research.;The study, published today in a Health Effects Institute (HEI) report, is the la  [+3488 chars]",45,1,0.022222222222222223
249,"A TANZANIAN national, Ms Elizabeth Maruma Mrema, has been appointed Acting Executive Secretary of the Convention on Biological Diversity (CBD) Secretariat based in Monteal, Canada, effective from December 1, this year.;Ms Mrema's appointment follows the resi  [+2800 chars]",39,1,0.02564102564102564
252,"Dar es Salaam   A Tanzanian, Ms Elizabeth Maruma Mrema, has been appointed acting executive secretary of the Convention on Biological Diversity (CBD) Secretariat with effect from December 1, 2019.;CDB is based in Monteal, Canada and the appointment was made   [+3153 chars]",42,1,0.023809523809523808
254,"Friday, Nov. 1 is World Vegan Day. Canada is home to about 470,000 vegans, according to a recent Dalhousie University survey; the number has not increased significantly in recent years. Anyone who has lived a vegan lifestyle will tell you that it is amazingly  [+4938 chars]",46,1,0.021739130434782608
257,"Canada has made disappointingly little progress in preserving the variety of life in its oceans largely because of a contradiction in the federal department that's supposed to protect it, says a group of senior scientists.;""The (Department of Fisheries and O  [+3205 chars]",43,1,0.023255813953488372
262,"With a storm system set to barrel down on parts of Eastern Canada, Montreal mother Andrea Haid took to Twitter Wednesday appealing to the city s mayor to postpone Halloween for a day.;After learning that the neighbouring suburb of Sainte-Julie had taken the   [+4950 chars]",46,1,0.021739130434782608
279,"(CNN)Thanks to a minor geomagnetic storm, the northern lights may be visible in parts of the northern United States and across Canada on Wednesday night.;According to NOAA's Space Weather Prediction Center, an explosion of solar energy from the sun is set to  [+766 chars]",45,1,0.022222222222222223
281,"Canada s biggest railway says temporary layoffs are likely at the Halifax port due to an ongoing strike by its workers.;Canadian National Railway Co. says inactivity at the port means some rail employees will likely be placed on furlough if the labour stoppa  [+1232 chars]",46,1,0.021739130434782608
286,"At 11:40 p.m. on April 14, 1912, the RMS Titanic hit an iceberg about 375 miles off the coast of Newfoundland, Canada. The supposedly unsinkable ocean liner was four days into her journey from Southampton, England, to New York when the call to abandon ship ra  [+6159 chars]",48,1,0.020833333333333332
303,"The Toronto Star is shutting down its StarMetro commuter newspapers across Canada.;The final print editions in Vancouver, Edmonton, Calgary, Toronto and Halifax will be published Dec. 20, a spokesperson for Torstar Corp., the parent company of both newspaper  [+1999 chars]",41,1,0.024390243902439025
319,"HALIFAX, Nova Scotia The U.S. national security adviser urged Canada on Saturday not to use Huawei 5G technology, saying that doing so would put in jeopardy intelligence sharing with the United States and expose Canadians to being profiled by the Chinese gove  [+677 chars]",44,1,0.022727272727272728
322,"HALIFAX, Nova Scotia (Reuters) - U.S. national security adviser Robert O Brien urged Canada on Saturday not to use Huawei 5G technology or else it will put in jeopardy intelligence sharing with the United States, and also said it would expose its citizens to   [+96 chars]",46,1,0.021739130434782608
327,"By Steve Scherer;HALIFAX, Nova Scotia (Reuters) - The U.S. national security adviser urged Canada on Saturday not to use Huawei 5G technology, saying that doing so would put in jeopardy intelligence sharing with the United States and expose Canadians to bein  [+2217 chars]",44,1,0.022727272727272728
331,"HALIFAX, Nova Scotia--(BUSINESS WIRE)--PCTEL, Inc. (Nasdaq: PCTI) announced at APCO Canada that it is adding Digital Mobile Radio (DMR) signal quality measurements to its award-winning public safety network testing solution. PCTELs solution streamlines the wa  [+2049 chars]",37,1,0.02702702702702703
332,"HALIFAX, Nova Scotia (AP) Canada's defense minister said Friday China is not an adversary despite the arbitrary detention of two Canadians as he hosts a major international security forum that will honor pro-democracy protesters in Hong Kong.;Defense Ministe  [+3156 chars]",41,1,0.024390243902439025
341,"November 23, 2019;News;By David Vergun;Defense.gov; Navy Adm. Philip S. Davidson, commander, U.S. Indo-Pacific Command, spoke today at the Halifax International Security Forum, in Halifax, Nova Scotia, Canada.;Freedom of navigation by air and by sea is i  [+2298 chars]",43,1,0.023255813953488372
344,"By Steve Scherer;HALIFAX, Nova Scotia (Reuters) - The U.S. national security adviser urged Canada on Saturday not to use Huawei 5G technology, saying that doing so would put in jeopardy intelligence sharing with the United States and expose Canadians to bein  [+1562 chars]",44,1,0.022727272727272728
345,"By Steve Scherer;HALIFAX, Nova Scotia (Reuters) - The U.S. national security adviser urged Canada on Saturday not to use Huawei 5G technology, saying that doing so would put in jeopardy intelligence sharing with the United States and expose Canadians to bein  [+1562 chars]",44,1,0.022727272727272728
346,"The US national security adviser urged Canada on Saturday not to use Huawei 5G technology, saying that doing so would put in jeopardy intelligence sharing with the United States and expose Canadians to being profiled by the Chinese government.;Canadian Prime  [+2461 chars]",43,1,0.023255813953488372
359,"Virgin Atlantic is to begin codesharing with WestJet on points to and within Canada.; The co-operation, which begins on 19 November, sees the UK carrier codeshare with the Canadian partner of its shareholder Delta Air Lines.; Delta, which holds a 49% stake   [+526 chars]",46,1,0.021739130434782608
361,"The slow, painful death march of print media continues this week with the imminent closure of all StarMetro newspapers across Canada.;Torstar Corporation, which eight years ago purchased a majority of the popular Metro free daily newspaper in Canada and rebr  [+2284 chars]",43,2,0.046511627906976744
364,"TORONTO A new report says Toronto still dominates Canada s tech scene, but smaller markets are making inroads as companies compete to find talent.;The report by real estate services firm CBRE notes that while Toronto s tech talent pool grew by 54 per cent be  [+987 chars]",48,1,0.020833333333333332
366,"TORONTO A new report says Toronto still dominates Canada s tech scene, but smaller markets are making inroads as companies compete to find talent.;The report by real estate services firm CBRE notes that while Toronto s tech talent pool grew by 54 per cent be  [+987 chars]",48,1,0.020833333333333332
367,"Toronto still dominates Canadas tech scene but smaller markets are making inroads as companies compete to find talent, a new report says.;The report by real estate services firm CBRE notes that while Torontos tech talent pool grew by 54 per cent between 2013  [+2756 chars]",46,1,0.021739130434782608
376,"Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up   [+11388 chars]",40,1,0.025
383,"Longtime national sports broadcaster Ron MacLean said he hopes to continue his friendship with former co-host Don Cherry after his controversial termination from Hockey Night in Canada.;MacLean was in Edmonton Tuesday to receive an honorary degree from the U  [+2908 chars]",42,1,0.023809523809523808
389,"According to Alzheimer s Disease International s survey on attitudes toward dementia   which surveyed almost 70,000 people in 155 countries, including Canada   almost 80 per cent of people are concerned about developing dementia, while one in four people thin  [+3555 chars]",41,1,0.024390243902439025
393,"TORONTO A group that includes five Ontario mothers is challenging the province's child vaccination law, alleging it violates a number of constitutional rights.;The parents and the non-profit organization Vaccine Choice Canada allege the Immunization of Schoo  [+3131 chars]",39,1,0.02564102564102564
400,"Last month (June) marked the commemoration of the aboriginal people of Canada (First Nations of the West, the Inuit of the North, and the Metis of the East).To this end, iTunes App Store.......read more",34,1,0.029411764705882353
411,"Canada has received more than its usual share of attention for its AI capabilities. The country was either prescient or lucky in continuing to fund neural networks research when the US retreated from it in the 1970s and 80s. As a result, Canadian researchers   [+13403 chars]",46,1,0.021739130434782608
412,"Simon Sees ;Indigenous Tourism Association of Canada;Conferences are not usually described as emotional, inspiring or thought provoking. But not all conferences are the largest Indigenous tourism conference in the world, either.;Bringing together travel pr  [+8440 chars]",38,1,0.02631578947368421
415,"Montreal, Canada - A court in Quebec is set to hear a motion that seeks to suspend the application of a law that prohibits some public-sector employees in the Canadian province to wear religious symbols on the job. ;The Quebec Court of Appeal will hear the r  [+3855 chars]",49,1,0.02040816326530612
416,"Sen. Murray Sinclair, who is the former chief commissioner of the Truth and Reconciliation Commission, is this year's recipient of the Symons Medal to be presented on Friday.;Sinclair, who has served in Canada's justice system for the past 25 years, will als  [+3398 chars]",45,1,0.022222222222222223
421,"The Supreme Court of Canada will deliver a decision today that could set a new benchmark for how long a criminal case involving a young person can drag on before charges are dropped.;The case before the court involves an Alberta teen identified only as ""K.J.  [+6509 chars]",48,1,0.020833333333333332
423,"The Transportation Safety Board released four new recommendations Thursday for the operators of small aircraft in Canada.;The recommendations stem from a 14-year Transportation Safety Board (TSB) investigation  from 2000 to 2014, the board analyzed more than  [+2318 chars]",39,1,0.02564102564102564
428,"Discover the cosmos!;Each day a different image or photograph of our fascinating universe is;featured, along with a brief explanation written by a professional astronomer.;2019 October 27 ;Ghost Aurora over Canada Image Credit &amp; Copyright: Yuichi Taka  [+1210 chars]",41,1,0.024390243902439025
450,"(Reuters Health) - Although cancer doctors know it s important to talk about fertility concerns with young women patients, they may feel uncomfortable and unprepared to discuss the issue, a study in Canada suggests. ;The American Society of Clinical Oncology  [+4569 chars]",42,1,0.023809523809523808
460,"Answers in GenesisCanada is announcing their newest speaker, writer, and youth outreach coordinator, Patricia Engler, who is now available to help equip Christian youth and adults across Canada.;Patricias passion for biblical apologetics ignited at age 14, w  [+2998 chars]",40,2,0.05
,,,,
Max Relative Frequency: 0.06818181818181818,,,,
Article No: 22,,,,
"Article: British Columbia and Newfoundland led Canada s provinces in employment gains in October, Statistics Canada s new Labour Force Survey reports.;Canada added 443,000 new jobs in the 12 months spanning October 2018 to October 2019, led by gains in full-time work  [+2464 chars]",,,,
